,alt,sum,brw,mhd,thd,nwr,kum,mlo,smo,cgo,ush,psa,spo
1977-01-01,,,,,,,,,,,,,
1977-02-01,,,152.154,,,153.721,,142.188,,,,,133.742
1977-03-01,,,149.855,,,151.999,,140.899,,,,,135.163
1977-04-01,,,148.306,,,150.542,,140.156,,,,,136.639
1977-05-01,,,147.766,,,149.394,,139.939,,,,,138.249
1977-06-01,,,148.204,,,149.306,,140.627,,,,,139.505
1977-07-01,,,147.928,,,149.358,,142.147,,,,,140.195
1977-08-01,,,148.234,,,149.534,,143.636,135.966,,,,140.793
1977-09-01,,,150.669,,,150.537,,144.671,135.652,,,,141.605
1977-10-01,,,153.977,,,151.918,,145.672,135.707,,,,142.342
1977-11-01,,,156.637,,,152.566,,146.652,136.135,,,,143.071
1977-12-01,,,158.097,,,152.731,,147.469,136.856,,,,143.838
1978-01-01,,,158.601,,,153.061,,148.137,138.12,,,,144.693
1978-02-01,,,158.698,,,153.748,,148.704,139.966,,,,145.654
1978-03-01,,,158.763,,,154.919,,149.147,141.727,,,,146.616
1978-04-01,,,158.692,,,156.238,,149.655,142.706,,,,147.506
1978-05-01,,,158.488,,,157.299,,150.545,143.093,,,,148.524
1978-06-01,,,158.475,,,158.297,,151.777,143.181,,,,149.529
1978-07-01,,,159.038,,,159.537,,153.057,143.341,,,,150.316
1978-08-01,,,160.589,,,161.056,,154.212,144.057,,,,151.318
1978-09-01,,,163.306,,,162.485,,155.099,145.259,,,,152.772
1978-10-01,,,166.162,,,162.874,,155.598,146.496,,,,154.169
1978-11-01,,,167.722,,,161.751,,156.047,147.875,,,,155.333
1978-12-01,,,168.177,,,160.522,,156.986,149.516,,,,156.129
1979-01-01,,,168.464,,,160.494,,158.303,150.997,,,,156.008
1979-02-01,,,168.645,,,161.317,,159.332,151.989,,,,155.384
1979-03-01,,,168.829,,,162.225,,159.58,152.337,,,,155.092
1979-04-01,,,168.976,,,162.942,,159.267,152.147,,,,155.122
1979-05-01,,,168.252,,,163.18,,159.002,151.924,,,,155.367
1979-06-01,,,167.01,,,163.114,,159.376,151.985,,,,155.924
1979-07-01,,,166.873,,,163.55,,160.868,152.401,,,,156.584
1979-08-01,,,168.225,,,164.745,,163.28,153.28,,,,157.17
1979-09-01,,,170.269,,,166.387,,165.661,154.414,,,,157.829
1979-10-01,,,172.502,,,167.867,,167.2,155.518,,,,158.363
1979-11-01,,,174.433,,,168.858,,167.777,156.736,,,,158.751
1979-12-01,,,175.651,,,169.542,,167.784,157.98,,,,159.183
1980-01-01,,,176.306,,,170.493,,168.007,158.926,,,,159.559
1980-02-01,,,176.624,,,171.971,,168.697,159.644,,,,159.787
1980-03-01,,,176.58,,,173.753,,169.273,160.268,,,,160.237
1980-04-01,,,176.312,,,175.058,,169.674,160.677,,,,161.109
1980-05-01,,,176.257,,,175.192,,170.231,160.908,,,,162.09
1980-06-01,,,176.584,,,174.716,,170.792,161.315,,,,163.124
1980-07-01,,,177.092,,,174.681,,171.6,162.067,,,,164.445
1980-08-01,,,177.891,,,175.299,,173.014,162.792,,,,165.926
1980-09-01,,,179.15,,,176.006,,174.322,163.197,,,,167.199
1980-10-01,,,180.531,,,176.336,,174.794,163.647,,,,168.03
1980-11-01,,,181.826,,,176.351,,174.795,164.435,,,,168.179
1980-12-01,,,183.011,,,176.454,,174.669,165.44,,,,167.595
1981-01-01,,,183.617,,,176.858,,174.642,166.549,,,,167.069
1981-02-01,,,183.672,,,177.546,,175.234,167.58,,,,167.313
1981-03-01,,,183.619,,,178.497,,176.498,168.171,,,,168.108
1981-04-01,,,183.55,,,179.424,,177.728,168.497,,,,168.979
1981-05-01,,,183.885,,,180.094,,178.529,169.163,,,,169.733
1981-06-01,,,184.957,,,180.75,,179.258,170.236,,,,170.421
1981-07-01,,,186.158,,,181.633,,180.31,171.398,,,,170.973
1981-08-01,,,187.123,,,182.539,,181.464,172.519,,,,171.181
1981-09-01,,,188.182,,,183.368,,182.222,173.505,,,,171.336
1981-10-01,,,189.183,,,184.036,,182.476,174.352,,,,172.056
1981-11-01,,,190.251,,,184.297,,182.451,175.249,,,,173.235
1981-12-01,,,191.699,,,184.291,,182.379,176.24,,,,174.378
1982-01-01,,,192.943,,,184.738,,182.516,177.072,,,,175.311
1982-02-01,,,193.352,,,185.787,,183.088,177.67,,,,175.713
1982-03-01,,,193.126,,,186.982,,183.948,178.081,,,,175.711
1982-04-01,,,192.512,,,188.123,,184.622,178.414,,,,176.065
1982-05-01,,,191.602,,,189.07,,184.991,178.905,,,,176.869
1982-06-01,,,191.039,,,189.551,,185.387,179.573,,,,177.65
1982-07-01,,,191.358,,,189.724,,186.107,180.296,,,,178.301
1982-08-01,,,192.488,,,190.104,,187.117,180.944,,,,178.995
1982-09-01,,,194.2,,,190.876,,188.196,181.505,,,,179.671
1982-10-01,,,196.331,,,191.899,,188.975,182.027,,,,180.332
1982-11-01,,,198.331,,,192.922,,189.342,182.635,,,,180.986
1982-12-01,,,199.654,,,193.801,,189.75,183.462,,,,181.647
1983-01-01,,,200.231,,,194.645,,190.498,184.518,,,,182.316
1983-02-01,,,200.165,,,195.758,,191.467,185.602,,,,182.983
1983-03-01,,,199.935,,,197.236,,192.722,186.415,,,,183.661
1983-04-01,,,200.256,,,198.546,,194.381,187.013,,,,184.375
1983-05-01,,,201.034,,,199.027,,196.09,187.394,,,,185.101
1983-06-01,,,201.62,,,198.838,,197.491,187.537,,,,185.788
1983-07-01,,,202.077,,,198.789,,198.521,187.755,,,,186.462
1983-08-01,,,202.805,,,199.342,,198.973,188.232,,,,187.137
1983-09-01,,,203.748,,,200.531,,198.841,188.921,,,,187.721
1983-10-01,,,204.921,,,201.939,,198.642,190.144,,,,188.186
1983-11-01,,,206.41,,,202.883,,198.801,191.993,,,,188.685
1983-12-01,,,207.835,,,203.25,,199.32,193.764,,,,189.344
1984-01-01,,,208.653,,,203.544,,200.105,194.99,,,,190.166
1984-02-01,,,208.851,,,203.997,,201.025,195.592,,,,191.127
1984-03-01,,,208.648,,,204.611,,201.695,195.463,,,,192.124
1984-04-01,,,208.259,,,205.3,,201.961,194.861,,,,193.058
1984-05-01,,,208.033,,,205.499,,202.164,194.451,,,,193.963
1984-06-01,,,208.262,,,205.167,,202.609,194.703,,,,194.946
1984-07-01,,,208.859,,,205.241,,203.454,195.64,,,,195.866
1984-08-01,,,209.834,,,206.259,,204.916,196.746,,,,196.613
1984-09-01,,,211.311,,,208.102,,207.012,197.655,,,,197.584
1984-10-01,,,213.212,,,210.277,,209.164,198.869,,,,199.074
1984-11-01,,,215.37,,,211.743,,210.819,200.845,,,,200.688
1984-12-01,,,217.582,,,211.922,,211.837,203.43,,,,201.947
1985-01-01,,,219.518,,,211.825,,212.443,206.092,,,,202.732
1985-02-01,,,220.983,,,212.457,,213.098,207.933,,,,203.059
1985-03-01,,,221.696,,,213.73,,214.081,208.21,,,,203.352
1985-04-01,,,221.273,,,215.005,,215.043,207.546,,,,204.137
1985-05-01,,,220.173,,,215.66,,215.362,207.019,,,,205.252
1985-06-01,,,219.426,,,215.846,,215.176,207.013,,,,206.301
1985-07-01,,,219.717,,,216.671,,215.159,207.498,,,,207.157
1985-08-01,,,221.312,,,218.804,,215.817,208.314,,,,207.954
1985-09-01,,,223.891,,,221.579,,217.405,209.309,,,,209.008
1985-10-01,,,226.486,,,223.651,,219.461,210.498,,,,210.471
1985-11-01,,,228.371,,,224.111,,220.782,211.457,,,,211.922
1985-12-01,,,229.5,,,223.263,,220.987,211.829,,,,212.964
1986-01-01,,,230.092,,,222.34,,221.09,212.205,,,,213.551
1986-02-01,,,230.538,,,222.35,,221.826,213.128,,,,213.782
1986-03-01,,,230.929,,,223.495,,223.324,214.524,,,,214.068
1986-04-01,,,231.132,,,225.279,,225.193,216.401,,,,214.795
1986-05-01,,,231.151,,,226.917,,226.369,218.216,,,,215.774
1986-06-01,,,231.155,,,227.753,,226.487,219.19,,,,216.666
1986-07-01,,,231.519,,,228.003,,226.682,219.664,,,,217.494
1986-08-01,,,232.696,,,228.667,,227.799,220.215,,,,218.431
1986-09-01,,,234.671,,,230.284,,229.5,220.646,,,,219.46
1986-10-01,,,236.909,,,232.08,,231.166,220.909,,,,220.458
1986-11-01,,,238.961,,,233.323,,232.126,221.499,,,,221.328
1986-12-01,,,240.3,,,233.923,,232.279,222.786,,,,222.093
1987-01-01,,,240.947,,,234.1,,232.425,224.626,,,,222.789
1987-02-01,,,241.422,,,234.557,,233.24,226.366,,,,223.492
1987-03-01,,,242.133,,,235.896,,234.511,227.247,,,,224.3
1987-04-01,,,243.294,,,237.533,,235.595,226.988,,,,225.184
1987-05-01,,,244.737,,,238.578,,236.045,226.251,,,,226.042
1987-06-01,,,246.045,,,239.251,,235.75,226.126,,,,226.847
1987-07-01,,,246.343,,,240.388,,236.665,226.914,,,,227.68
1987-08-01,,,246.244,,,242.315,,238.606,228.188,,,,228.586
1987-09-01,,,247.384,,,244.732,,241.075,229.509,,,,229.473
1987-10-01,,,249.904,,,246.895,,243.114,230.733,,,,230.231
1987-11-01,,,251.363,,,247.957,,243.211,231.81,,,,230.857
1987-12-01,,,251.984,,,247.793,,241.645,232.692,,,,232.013
1988-01-01,,,252.403,,,247.897,,242.271,233.277,,,,231.828
1988-02-01,,,253.447,,,249.812,,242.989,233.742,,,,230.814
1988-03-01,,,253.98,,,252.885,,245.929,234.258,,,,230.318
1988-04-01,,,254.058,,,255.199,,248.866,234.961,,,,230.836
1988-05-01,,,253.561,,,255.969,,250.953,236.051,,,,230.872
1988-06-01,,,253.515,,,255.25,,250.308,237.096,,,,232.581
1988-07-01,,,254.184,,,253.61,,251.014,237.53,,,,234.876
1988-08-01,,,255.353,,,252.744,,251.758,237.695,,,,236.567
1988-09-01,,,257.438,,,253.513,,253.709,238.464,,,,236.772
1988-10-01,,,259.764,,,254.768,,255.8,240.236,,,,236.784
1988-11-01,260.854,,262.362,,,255.733,,256.896,242.813,,,,236.817
1988-12-01,261.405,,262.621,,,256.616,,257.024,245.35,,,,238.164
1989-01-01,261.994,,262.841,,,257.064,,255.932,246.956,,,,239.186
1989-02-01,262.583,,262.937,,,256.84,,254.728,247.617,,,,239.879
1989-03-01,263.207,,263.296,,,256.591,,254.877,246.787,,,,240.627
1989-04-01,263.888,,262.139,,,256.929,,256.334,245.621,,,,241.917
1989-05-01,264.645,,261.916,,,258.133,,257.542,244.278,,,,243.092
1989-06-01,265.415,,261.366,,,260.058,,257.903,243.973,,,,244.243
1989-07-01,266.156,,261.418,,,262.253,,258.54,244.187,,,,245.355
1989-08-01,266.958,,261.75,,,264.183,,259.752,245.609,,,,246.214
1989-09-01,268.048,,263.337,,,265.207,,261.399,246.642,,,,247.477
1989-10-01,269.477,,265.146,,,265.125,,263.015,248.166,,,,248.399
1989-11-01,271.028,,268.198,,,264.603,,263.882,249.111,,,,248.88
1989-12-01,272.386,,271.291,,,264.815,,263.795,250.265,,,,249.228
1990-01-01,273.328,,272.86,,,264.073,,263.381,251.248,,,,249.78
1990-02-01,273.816,,271.882,,,264.271,,262.499,252.34,,,,250.078
1990-03-01,273.936,,270.385,,,264.331,,261.683,252.455,,,,250.453
1990-04-01,273.809,,268.811,,,264.279,,261.797,252.281,,,,251.34
1990-05-01,273.474,,267.517,,,263.158,,262.723,252.526,,,,252.188
1990-06-01,273.02,,266.667,,,262.774,,263.364,253.256,,,,253.058
1990-07-01,272.657,,266.943,,,263.043,,263.744,253.931,,,,253.812
1990-08-01,272.612,,267.225,,,263.66,,264.094,254.894,,,,254.591
1990-09-01,272.818,,267.608,,,264.762,,263.986,255.839,,,,255.33
1990-10-01,273.044,,268.342,,,265.79,,264.006,256.528,,,,256.068
1990-11-01,273.162,,269.715,,,267.077,,264.874,257.191,,,,256.791
1990-12-01,273.281,,270.925,,,266.953,,265.708,258.155,,,,257.171
1991-01-01,273.494,,272.038,,,266.345,,265.665,259.331,,,,257.461
1991-02-01,273.783,,272.324,,,265.89,,265.183,260.356,,,,257.623
1991-03-01,273.936,,271.696,,,266.464,,264.996,259.932,,,,257.855
1991-04-01,273.699,,270.415,,,267.342,,265.212,259.454,,,,258.148
1991-05-01,273.157,,269.317,,,266.874,,265.473,259.395,,,,258.714
1991-06-01,272.835,,268.985,,,266.657,,265.532,259.379,267.785,,,259.221
1991-07-01,273.209,,269.41,,,267.217,,265.082,259.377,265.293,,,259.766
1991-08-01,274.13,,269.413,,,267.152,,265.262,260.034,263.422,,,260.699
1991-09-01,275.091,,269.859,,,266.767,,265.921,260.281,262.148,,,261.407
1991-10-01,275.767,,271.272,,,267.938,,266.498,260.544,261.468,,,261.454
1991-11-01,276.173,,273.014,,,269.947,,267.194,260.649,261.376,,,261.43
1991-12-01,276.416,,274.394,,,269.64,,267.83,260.618,261.441,,,261.686
1992-01-01,276.549,,274.181,,,269.227,,267.976,261.3,261.516,,,262.052
1992-02-01,276.525,,273.551,,,268.837,,267.78,262.287,261.814,,,262.21
1992-03-01,276.311,,272.751,,,269.028,,268.149,262.651,262.22,,,262.742
1992-04-01,276.028,,273.201,,,268.883,,268.267,262.582,262.516,,,262.915
1992-05-01,276.015,,272.589,,,270.104,,268.471,262.684,262.644,,,262.877
1992-06-01,276.437,,271.928,,,270.513,,268.525,262.835,262.88,,,262.827
1992-07-01,277.09,,270.892,,,270.509,,268.471,263.302,263.657,,,263.26
1992-08-01,277.647,,270.549,,,270.659,,268.23,263.649,264.745,,,263.942
1992-09-01,278.032,,270.983,,,272.053,,268.233,263.924,265.469,,,264.54
1992-10-01,278.274,,271.868,,,273.222,,268.277,263.982,265.656,,,264.593
1992-11-01,278.442,,273.177,,,272.596,,268.559,264.637,265.585,,,264.764
1992-12-01,278.546,,274.424,,,271.447,,269.957,265.99,265.323,,,264.99
1993-01-01,278.517,,275.76,,,271.657,,271.275,266.391,264.624,,,264.615
1993-02-01,278.224,,274.957,,,271.859,,270.078,265.981,263.451,,,264.251
1993-03-01,277.633,,273.327,,,271.501,,268.373,265.752,262.483,,,264.493
1993-04-01,276.946,,271.862,,,272.39,,268.507,265.391,262.368,,,264.257
1993-05-01,276.438,,271.089,,,272.417,,269.147,264.486,262.834,,,264.263
1993-06-01,276.12,,270.334,,,271.093,,269.2,265.22,263.325,,,265.07
1993-07-01,275.876,,270.458,,,270.181,,269.185,266.059,263.771,,,265.438
1993-08-01,275.811,,270.838,,,270.897,,269.102,266.333,264.205,,,265.155
1993-09-01,276.113,,271.098,,,271.406,,269.145,265.709,264.858,,,265.109
1993-10-01,276.685,,272.036,,,272.281,,269.698,265.063,265.781,,,265.331
1993-11-01,277.279,,273.66,,,272.439,,269.941,265.194,266.273,,,265.566
1993-12-01,277.712,,274.487,,,271.673,,269.851,266.348,265.652,,,265.461
1994-01-01,277.876,,274.071,,,270.4,,269.287,266.849,264.557,,,265.322
1994-02-01,277.657,,273.811,,,269.652,,269.288,267.063,263.95,,,264.998
1994-03-01,276.975,,273.559,,,269.898,,269.771,266.707,263.901,,,264.556
1994-04-01,275.832,,272.67,,,270.148,,269.847,266.457,264.18,,,263.751
1994-05-01,274.406,,271.375,,,270.226,,269.247,265.91,264.888,,,263.785
1994-06-01,273.086,,270.906,,,269.982,,268.776,265.701,265.926,,,264.7
1994-07-01,272.241,,271.066,,,270.794,,268.883,265.302,266.822,,,265.599
1994-08-01,271.94,,271.039,,,270.926,,269.005,265.525,267.27,,,265.816
1994-09-01,271.983,,270.919,,,270.698,,269.269,265.942,267.325,,,265.968
1994-10-01,272.119,,271.356,,,270.323,,269.921,265.817,266.209,,,265.826
1994-11-01,272.189,,272.945,,,270.498,,269.847,265.326,264.725,,,265.619
1994-12-01,272.761,,272.067,,,269.417,,268.333,264.753,263.766,,,264.956
1995-01-01,272.423,,270.606,,,268.412,,267.636,265.185,263.801,,,264.299
1995-02-01,271.086,,269.727,,,267.925,,267.917,265.398,263.566,,,264.943
1995-03-01,270.15,,269.863,,,268.338,,267.517,265.567,263.372,,,264.819
1995-04-01,270.318,,268.991,,,268.649,,266.905,265.506,263.055,,,264.25
1995-05-01,269.806,,269.135,,,268.472,,267.415,265.175,263.428,,,263.721
1995-06-01,269.187,,268.641,,,268.026,,267.449,264.509,263.898,,,264.144
1995-07-01,268.752,,268.187,,,268.079,,267.222,264.126,263.974,,,263.666
1995-08-01,268.717,,267.842,,,268.369,,267.259,264.165,264.22,,,263.691
1995-09-01,269.018,,267.883,,,268.143,,267.499,264.095,264.63,,,263.762
1995-10-01,269.651,,268.517,,,268.332,,267.395,264.203,264.57,,,264.055
1995-11-01,269.617,,268.962,,,268.791,,267.517,264.613,263.998,,,263.971
1995-12-01,269.032,,268.628,,,268.575,,267.348,265.038,263.333,,,263.176
1996-01-01,268.691,,268.195,,,267.694,266.346,266.86,264.609,262.68,,,262.965
1996-02-01,268.756,,268.335,,,267.64,267.14,266.723,264.319,262.616,,,262.865
1996-03-01,268.48,,268.283,,,267.769,267.458,266.823,264.327,262.943,,,262.853
1996-04-01,268.155,,268.217,,,267.5,267.368,266.824,264.6,263.235,,,262.586
1996-05-01,267.836,,268.069,,,267.169,267.055,266.567,264.435,263.204,,,262.584
1996-06-01,267.888,,267.525,,,266.796,266.718,266.432,264.426,262.901,,,262.651
1996-07-01,267.56,,266.898,,,266.732,266.306,266.242,264.16,262.764,,,263.015
1996-08-01,266.976,,266.481,,,266.799,266.301,266.261,263.988,263.048,,,262.939
1996-09-01,266.637,,266.256,,,267.095,266.233,266.249,263.713,262.833,,,262.667
1996-10-01,266.933,,266.185,,,266.986,266.114,266.276,263.767,262.589,,,262.583
1996-11-01,267.11,,266.628,,,266.884,266.16,266.391,264.161,262.615,,,262.656
1996-12-01,267.145,,267.049,,,266.537,266.04,266.231,264.494,262.615,,,262.615
1997-01-01,266.992,,267.102,,,266.392,266.054,266.277,264.107,262.344,,,262.606
1997-02-01,266.917,,266.759,,,266.13,265.862,266.116,263.865,262.372,,,262.27
1997-03-01,266.917,,266.289,,,265.814,265.842,265.752,264.009,262.65,,,261.578
1997-04-01,266.668,,265.892,,,265.5,265.484,265.224,263.922,262.43,,,261.435
1997-05-01,266.138,,265.614,,,265.34,265.506,265.246,263.41,262.29,,,261.526
1997-06-01,265.906,,265.301,,,265.614,264.963,264.9,263.462,262.281,,,261.623
1997-07-01,265.387,,264.835,,,265.702,264.661,264.763,263.384,262.191,,,261.821
1997-08-01,264.947,,264.371,,,265.377,264.464,264.752,262.893,262.013,,,261.97
1997-09-01,264.798,,264.517,,,265.172,264.853,264.915,262.729,262.13,,,261.702
1997-10-01,265.065,,265.196,,,265.431,264.982,264.999,262.934,262.026,,,261.677
1997-11-01,265.474,,265.471,,,265.626,265.088,265.276,262.67,261.78,,,261.537
1997-12-01,265.459,,265.249,,,265.606,264.919,264.865,262.91,261.498,,,261.363
1998-01-01,265.267,,265.246,,,265.369,265.134,264.596,262.932,261.194,,,261.472
1998-02-01,265.301,,265.293,,,264.887,265.025,264.417,262.318,260.916,,,261.37
1998-03-01,265.239,,264.948,,,264.49,264.491,264.372,261.299,260.66,,,260.795
1998-04-01,264.499,,264.725,,,264.153,263.613,264.099,261.206,260.167,,,260.396
1998-05-01,264.446,,264.549,,,263.649,263.449,263.837,261.181,259.988,,,260.49
1998-06-01,264.468,,263.801,,,263.295,263.255,263.336,261.095,260.233,,,260.733
1998-07-01,263.99,,262.829,,,263.639,263.124,263.157,260.942,260.772,,,260.971
1998-08-01,263.262,,262.351,,,264.107,263.022,263.086,261.09,261.039,,,260.856
1998-09-01,263.471,,262.345,,,263.895,263.386,263.012,261.363,261.111,,,260.547
1998-10-01,263.813,,262.658,264.94,,263.589,263.522,263.347,261.885,261.201,,,260.574
1998-11-01,264.194,,262.837,263.684,,263.804,263.555,263.801,262.07,261.134,,,260.61
1998-12-01,264.239,,262.924,264.29,,263.848,263.522,263.81,261.825,260.802,,,260.65
1999-01-01,264.104,,262.831,264.24,,263.528,263.366,263.624,261.574,260.386,,,260.443
1999-02-01,263.957,,262.532,263.697,,263.072,263.006,263.581,261.359,260.127,,,260.32
1999-03-01,263.513,,262.115,262.955,,262.801,262.634,263.387,261.048,259.813,,,259.925
1999-04-01,263.128,,261.94,262.77,,262.5,262.369,263.061,260.71,259.787,,,259.7
1999-05-01,262.611,,261.597,262.407,,262.098,262.142,262.87,260.496,259.695,,,259.312
1999-06-01,261.923,,261.132,262.291,,261.609,261.765,262.52,260.18,259.444,,,259.344
1999-07-01,261.135,,260.758,261.599,,261.687,261.241,262.036,260.229,259.402,,,259.341
1999-08-01,261.46,,260.43,261.352,,261.811,261.133,261.799,260.054,259.611,,,259.315
1999-09-01,261.824,,260.316,261.274,,261.846,261.595,262.05,259.834,259.556,,,259.106
1999-10-01,261.663,,260.733,261.653,,261.929,261.947,262.23,259.647,259.616,,,259.027
