,alt,sum,brw,mhd,thd,nwr,kum,mlo,smo,cgo,ush,psa,spo
1977-01-01,,,,,,,,,,,,,
1977-02-01,,,,,,,,,,,,,
1977-03-01,,,,,,,,,,,,,
1977-04-01,,,,,,,,,,,,,
1977-05-01,,,,,,,,,,,,,
1977-06-01,,,,,,,,,,,,,
1977-07-01,,,,,,,,,,,,,
1977-08-01,,,,,,258.764,,,240.017,,,,238.3
1977-09-01,,,,,,261.502,,260.159,241.729,,,,240.491
1977-10-01,,,,,,263.986,,264.648,243.808,,,,243.003
1977-11-01,,,,,,265.922,,268.452,246.167,,,,245.295
1977-12-01,,,,,,267.988,,271.618,248.927,,,,246.951
1978-01-01,,,,,,270.444,,274.265,251.85,,,,247.827
1978-02-01,,,,,,272.27,,276.02,254.335,,,,247.953
1978-03-01,,,,,,273.007,,277.287,256.199,,,,248.137
1978-04-01,,,290.079,,,274.815,,279.227,257.663,,,,249.175
1978-05-01,,,287.62,,,279.304,,281.662,258.484,,,,250.772
1978-06-01,,,286.459,,,285.334,,283.229,258.696,,,,252.345
1978-07-01,,,286.551,,,290.548,,283.446,258.611,,,,253.619
1978-08-01,,,288.029,,,293.631,,282.732,258.937,,,,254.398
1978-09-01,,,291.324,,,293.804,,282.356,260.303,,,,255.077
1978-10-01,,,294.762,,,290.972,,284.055,262.672,,,,256.389
1978-11-01,,,296.467,,,287.106,,287.726,265.472,,,,258.095
1978-12-01,,,296.654,,,284.856,,291.043,268.283,,,,259.71
1979-01-01,,,296.359,,,284.72,,292.045,270.712,,,,261.199
1979-02-01,,,296.205,,,286.223,,290.755,272.325,,,,262.471
1979-03-01,,,296.748,,,289.634,,289.322,272.728,,,,263.706
1979-04-01,,,297.563,,,293.207,,290.229,272.298,,,,265.518
1979-05-01,,,297.662,,,294.316,,292.742,272.292,,,,267.745
1979-06-01,,,297.555,,,294.133,,295.026,273.23,,,,269.273
1979-07-01,,,298.286,,,294.744,,297.982,274.898,,,,270.068
1979-08-01,,,299.927,,,295.043,,302.628,277.405,,,,271.846
1979-09-01,,,302.423,,,295.126,,306.942,280.431,,,,275.467
1979-10-01,,,305.716,,,297.344,,309.169,282.739,,,,279.439
1979-11-01,,,308.472,,,301.778,,310.06,283.744,,,,282.088
1979-12-01,,,309.65,,,307.078,,310.968,283.856,,,,282.888
1980-01-01,,,309.785,,,312.129,,312.869,284.067,,,,281.913
1980-02-01,,,310.123,,,314.554,,314.487,285.823,,,,280.752
1980-03-01,,,311.233,,,313.328,,313.201,289.083,,,,281.462
1980-04-01,,,312.498,,,311.668,,310.177,291.756,,,,283.224
1980-05-01,,,312.906,,,312.302,,309.675,292.246,,,,284.372
1980-06-01,,,312.319,,,314.358,,312.704,290.977,,,,286.125
1980-07-01,,,311.633,,,315.758,,316.484,289.619,,,,289.846
1980-08-01,,,312.428,,,315.665,,318.184,289.416,,,,293.835
1980-09-01,,,316.118,,,314.036,,316.662,290.338,,,,296.159
1980-10-01,,,321.553,,,311.962,,313.834,291.708,,,,296.275
1980-11-01,,,325.417,,,310.986,,312.533,293.429,,,,294.53
1980-12-01,,,326.322,,,311.838,,312.58,295.818,,,,293.134
1981-01-01,,,325.925,,,314.111,,312.812,298.694,,,,294.239
1981-02-01,,,326.163,,,316.834,,314.605,301.514,,,,296.974
1981-03-01,,,328.086,,,319.454,,319.235,304.092,,,,299.422
1981-04-01,,,331.345,,,322.064,,325.347,306.732,,,,301.212
1981-05-01,,,334.393,,,324.406,,331.126,309.369,,,,302.652
1981-06-01,,,335.869,,,326.281,,335.616,311.381,,,,303.964
1981-07-01,,,336.43,,,328.515,,338.376,312.386,,,,305.403
1981-08-01,,,337.257,,,331.016,,339.386,312.723,,,,306.911
1981-09-01,,,338.306,,,332.539,,338.873,313.145,,,,308.377
1981-10-01,,,339.188,,,332.981,,337.564,314.479,,,,309.814
1981-11-01,,,340.938,,,332.892,,336.919,317.073,,,,311.223
1981-12-01,,,343.884,,,332.653,,337.543,320.282,,,,312.642
1982-01-01,,,346.605,,,333.526,,338.58,323.046,,,,314.062
1982-02-01,,,348.179,,,335.879,,339.292,324.894,,,,315.471
1982-03-01,,,348.487,,,338.377,,339.304,325.62,,,,316.898
1982-04-01,,,347.53,,,340.827,,338.455,325.434,,,,318.372
1982-05-01,,,346.199,,,343.56,,337.634,325.295,,,,319.854
1982-06-01,,,345.584,,,345.575,,337.989,325.919,,,,321.31
1982-07-01,,,346.147,,,346.778,,339.351,327.273,,,,322.87
1982-08-01,,,348.382,,,347.994,,341.316,328.974,,,,324.179
1982-09-01,,,352.06,,,348.814,,343.911,330.458,,,,325.157
1982-10-01,,,355.866,,,349.114,,346.421,331.456,,,,327.042
1982-11-01,,,358.939,,,349.822,,347.892,332.484,,,,330.532
1982-12-01,,,360.998,,,350.944,,348.718,334.158,,,,334.175
1983-01-01,,,361.983,,,352.179,,349.624,336.483,,,,336.429
1983-02-01,,,362.447,,,353.675,,350.373,338.874,,,,337.085
1983-03-01,,,362.868,,,355.648,,351.038,340.527,,,,336.35
1983-04-01,,,362.864,,,358.285,,352.065,341.167,,,,335.664
1983-05-01,,,362.298,,,361.105,,353.263,341.184,,,,336.574
1983-06-01,,,361.979,,,363.101,,354.571,341.523,,,,338.461
1983-07-01,,,363.422,,,364.277,,356.731,343.2,,,,340.131
1983-08-01,,,367.244,,,365.367,,359.971,346.34,,,,341.633
1983-09-01,,,371.669,,,366.797,,363.149,349.929,,,,342.879
1983-10-01,,,374.623,,,369.248,,365.667,352.987,,,,343.544
1983-11-01,,,376.111,,,371.991,,367.599,355.346,,,,344.54
1983-12-01,,,376.75,,,372.885,,368.492,357.196,,,,346.554
1984-01-01,,,376.953,,,371.608,,367.859,358.531,,,,349.057
1984-02-01,,,377.529,,,369.956,,366.772,359.174,,,,351.385
1984-03-01,,,378.041,,,369.338,,366.444,359.122,,,,353.055
1984-04-01,,,377.38,,,370.163,,366.641,358.602,,,,353.797
1984-05-01,,,376.496,,,372.192,,367.317,358.214,,,,354.338
1984-06-01,,,376.475,,,374.178,,368.676,358.587,,,,355.576
1984-07-01,,,377.066,,,375.374,,370.345,359.847,,,,357.264
1984-08-01,,,378.556,,,376.386,,372.112,361.51,,,,358.805
1984-09-01,,,381.669,,,377.977,,374.576,363.175,,,,360.237
1984-10-01,,,385.687,,,380.025,,377.386,365.041,,,,361.702
1984-11-01,,,389.341,,,382.066,,379.339,367.268,,,,363.169
1984-12-01,,,391.642,,,383.451,,380.012,369.208,,,,364.666
1985-01-01,,,392.029,,,383.446,,379.559,370.233,,,,366.175
1985-02-01,,,391.306,,,382.577,,378.731,370.562,,,,367.665
1985-03-01,,,391.139,,,382.419,,379.163,370.953,,,,369.175
1985-04-01,,,391.83,,,383.144,,381.181,371.661,,,,370.756
1985-05-01,,,392.425,,,384.187,,383.035,372.594,,,,372.354
1985-06-01,,,392.65,,,386.274,,384.333,374.414,,,,373.923
1985-07-01,,,393.429,,,390.293,,386.236,377.574,,,,375.441
1985-08-01,,,395.778,,,395.676,,388.923,380.865,,,,376.852
1985-09-01,,,400.307,,,401.191,,392.431,383.053,,,,378.196
1985-10-01,,,405.841,,,404.973,,396.567,384.453,,,,379.59
1985-11-01,,,409.994,,,405.5,,399.452,385.349,,,,381.069
1985-12-01,,,411.975,,,403.713,,400.252,386.505,,,,382.613
1986-01-01,,,413.032,,,402.03,,400.754,388.791,,,,384.176
1986-02-01,,,413.975,,,401.934,,402.006,391.267,,,,385.664
1986-03-01,,,414.746,,,403.499,,403.368,392.607,,,,387.051
1986-04-01,,,415.197,,,405.902,,404.435,393.333,,,,388.403
1986-05-01,,,414.848,,,408.242,,405.046,394.411,,,,389.696
1986-06-01,,,413.497,,,409.737,,405.284,395.94,,,,391.066
1986-07-01,,,412.317,,,410.179,,406.132,397.523,,,,392.779
1986-08-01,,,412.816,,,410.666,,408.345,398.508,,,,394.6
1986-09-01,,,415.622,,,412.633,,411.9,398.995,,,,395.926
1986-10-01,,,419.998,,,415.313,,415.571,399.633,,,,396.707
1986-11-01,,,424.199,,,417.356,,417.756,400.613,,,,397.539
1986-12-01,,,427.096,,,418.618,,418.241,402.44,,,,399.015
1987-01-01,,,429.301,,,419.673,,418.691,405.663,,,,401.317
1987-02-01,,,430.985,,,421.435,,420.221,409.545,,,,404.021
1987-03-01,,,431.351,,,424.49,,422.399,412.667,,,,406.411
1987-04-01,,,430.631,,,427.373,,422.587,415.202,,,,408.251
1987-05-01,,,429.67,,,428.036,,423.192,414.97,,,,409.884
1987-06-01,,,427.495,,,427.024,,426.133,413.977,,,,411.535
1987-07-01,,,431.15,,,426.488,,429.497,415.105,,,,413.061
1987-08-01,,,439.177,,,427.815,,431.374,418.833,,,,414.796
1987-09-01,,,445.408,,,431.889,,433.648,420.822,,,,417.494
1987-10-01,,,448.669,,,438.386,,437.366,422.627,,,,420.939
1987-11-01,,,453.349,,,445.457,,439.819,424.505,,,,423.835
1987-12-01,,,456.616,,,451.377,,440.164,426.718,,,,426.571
1988-01-01,,,458.76,,,455.252,,440.579,430.298,,,,424.925
1988-02-01,467.082,,461.751,,,456.974,,443.584,432.924,,,,421.746
1988-03-01,467.586,,463.712,,,457.684,,445.844,434.538,,,,421.538
1988-04-01,468.286,,463.622,,,458.48,,446.911,434.461,,,,424.749
1988-05-01,469.157,,461.967,,,459.699,,447.484,434.891,,,,426.379
1988-06-01,470.183,,461.144,,,461.667,,448.705,434.936,,,,428.38
1988-07-01,471.371,,462.577,,,463.918,,450.275,436.94,,,,430.318
1988-08-01,472.72,,465.188,,,466.079,,453.229,438.391,,,,433.354
1988-09-01,474.281,,469.091,,,468.473,,455.964,440.686,,,,436.185
1988-10-01,476.022,,473.607,,,470.54,,458.994,443.684,,,,439.139
1988-11-01,477.667,,477.628,,,471.617,,461.178,447.669,,,,440.229
1988-12-01,479.183,,479.71,,,471.886,,462.379,450.787,,,,441.45
1989-01-01,480.687,,479.376,,,471.288,,462.854,452.929,,,,441.924
1989-02-01,482.238,,477.86,,,470.464,,464.515,453.364,,,,443.242
1989-03-01,483.8,,478.08,,,470.744,,466.729,453.308,,,,444.732
1989-04-01,485.466,,478.689,,,472.071,,469.072,453.8,,,,446.953
1989-05-01,487.138,,477.794,,,474.577,,469.721,454.293,,,,449.162
1989-06-01,488.765,,477.773,,,478.089,,470.067,454.477,,,,451.436
1989-07-01,490.359,,478.874,,,481.019,,471.754,455.612,,,,453.952
1989-08-01,491.765,,480.68,,,483.283,,475.694,457.849,,,,455.861
1989-09-01,492.816,,483.771,,,485.953,,478.862,459.743,,,,457.394
1989-10-01,493.633,,487.843,,,487.94,,480.447,462.115,,,,458.78
1989-11-01,494.502,,491.879,,,488.895,,481.84,463.776,,,,460.297
1989-12-01,495.666,,496.716,,,490.748,,482.999,465.206,,,,461.287
1990-01-01,497.098,,499.884,,,490.169,,483.577,466.489,,,,462.335
1990-02-01,498.469,,499.293,,,489.651,,482.869,468.055,,,,464.034
1990-03-01,499.323,,497.037,,,489.587,,481.497,469.075,,,,465.568
1990-04-01,499.564,,495.604,,,490.798,,481.792,469.841,,,,467.311
1990-05-01,499.358,,494.908,,,490.497,,483.795,470.346,,,,469.224
1990-06-01,498.966,,494.413,,,492.452,,485.283,471.209,,,,471.102
1990-07-01,498.606,,495.422,,,493.205,,485.366,472.373,,,,471.636
1990-08-01,498.438,,496.855,,,494.224,,486.552,474.034,,,,473.359
1990-09-01,498.614,,498.086,,,496.067,,489.027,475.921,,,,475.382
1990-10-01,499.312,,499.627,,,497.698,,490.933,478.072,,,,477.33
1990-11-01,500.6,,502.612,,,498.776,,491.629,479.944,,,,477.665
1990-12-01,502.388,,505.136,,,499.543,,491.002,481.849,,,,478.402
1991-01-01,504.449,,506.558,,,499.131,,490.381,484.147,,,,479.385
1991-02-01,506.517,,506.576,,,498.13,,490.605,485.897,,,,480.628
1991-03-01,508.277,,506.162,,,499.124,,492.707,485.701,,,,481.702
1991-04-01,509.446,,505.879,,,500.579,,494.652,485.068,,,,483.355
1991-05-01,510.08,,505.897,,,501.131,,495.954,485.593,478.933,,,484.872
1991-06-01,510.611,,505.899,,,502.039,,497.116,486.216,482.043,,,485.976
1991-07-01,511.468,,506.543,,,503.462,,497.827,486.61,484.622,,,487.159
1991-08-01,512.854,,507.98,,,505.731,,496.052,487.433,486.678,,,488.909
1991-09-01,514.858,,510.501,,,506.915,,496.039,488.531,488.236,,,490.409
1991-10-01,517.35,,513.214,,,508.2,,498.753,490.215,488.917,,,491.405
1991-11-01,519.984,,516.211,,,508.656,,501.647,491.45,488.86,,,492.242
1991-12-01,522.428,,517.98,,,508.642,,501.196,492.428,488.884,,,493.054
1992-01-01,524.496,,517.903,,,509.438,,501.508,494.57,489.794,,,493.668
1992-02-01,526.103,,517.361,,,511.622,,502.952,497.184,491.691,,,494.103
1992-03-01,527.102,,517.173,,,512.256,,503.894,498.011,494.355,,,495.456
1992-04-01,527.353,,517.821,,,512.869,,504.172,498.144,496.63,,,496.59
1992-05-01,526.881,,518.046,,,514.921,,505.214,499.122,497.838,,,497.404
1992-06-01,526.064,,518.045,,,516.685,,506.785,499.924,498.686,,,498.056
1992-07-01,525.498,,517.677,,,517.462,,507.573,500.683,499.935,,,499.357
1992-08-01,525.494,,518.493,,,518.875,,508.567,501.723,501.643,,,500.168
1992-09-01,525.869,,520.437,,,519.088,,508.807,502.818,503.602,,,500.995
1992-10-01,526.277,,522.311,,,517.717,,508.587,503.202,504.979,,,501.575
1992-11-01,526.566,,524.727,,,516.738,,509.115,504.434,505.012,,,503.107
1992-12-01,526.811,,525.548,,,517.057,,510.327,506.162,503.925,,,504.109
1993-01-01,527.19,,525.22,,,516.867,,510.416,506.87,502.406,,,503.892
1993-02-01,527.749,,524.144,,,516.321,,510.326,506.687,501.064,,,502.87
1993-03-01,528.302,,523.777,,,516.327,,510.263,507.258,500.231,,,502.752
1993-04-01,528.56,,523.098,,,517.572,,511.048,507.059,500.162,,,503.05
1993-05-01,528.343,,522.471,,,519.743,,512.557,506.525,501.428,,,503.635
1993-06-01,527.724,,522.497,,,521.539,,513.413,507.101,503.906,,,504.272
1993-07-01,527.063,,523.284,,,522.354,,512.812,508.673,506.119,,,504.718
1993-08-01,526.719,,524.692,,,522.881,,513.315,509.767,507.033,,,505.72
1993-09-01,526.649,,526.202,,,522.788,,514.764,509.809,506.794,,,506.675
1993-10-01,526.555,,526.46,,,522.576,,515.977,509.287,505.77,,,507.472
1993-11-01,526.29,,525.285,,,522.326,,516.518,510.132,504.98,,,507.833
1993-12-01,525.935,,524.606,,,522.105,,516.72,511.736,505.007,,,508.418
1994-01-01,525.533,,525.601,,,521.847,,516.56,513.102,505.052,,,508.776
1994-02-01,524.984,,526.25,,,521.903,,517.147,513.909,504.536,,,508.945
1994-03-01,524.142,,526.678,,,522.205,,517.5,514.806,503.978,,,509.283
1994-04-01,523.017,,526.2,,,522.205,,517.698,514.528,503.821,,,509.344
1994-05-01,521.829,,525.168,,,522.013,,517.657,513.897,504.245,,,509.703
1994-06-01,520.88,,524.348,,,522.672,,517.984,513.266,505.206,,,510.387
1994-07-01,520.428,,524.223,,,524.686,,518.799,513.057,506.217,,,511.35
1994-08-01,520.6,,524.535,,,525.493,,520.244,513.426,507.139,,,512.276
1994-09-01,521.424,,525.422,,,525.748,,521.272,515.213,507.316,,,513.134
1994-10-01,521.438,,525.966,,,526.093,,522.232,516.784,509.16,,,513.729
1994-11-01,524.484,,526.434,,,526.509,,523.051,517.836,512.076,,,513.474
1994-12-01,528.545,,527.744,,,526.691,,523.195,517.596,514.945,,,513.746
1995-01-01,530.222,,528.495,,,526.899,,523.202,517.824,514.72,,,513.988
1995-02-01,528.813,,529.575,,,526.381,,523.334,518.257,513.341,,,514.276
1995-03-01,529.716,,530.447,,,526.915,,523.815,519.753,513.478,,,514.466
1995-04-01,531.009,,530.894,,,528.928,,524.595,520.621,515.69,,,515.333
1995-05-01,532.069,,530.44,,,529.62,,525.534,521.318,517.485,,,515.912
1995-06-01,530.557,,530.395,,,528.981,,525.535,521.226,517.88,,,516.669
