,alt,sum,brw,mhd,thd,nwr,kum,mlo,smo,cgo,ush,psa,spo
2000-10-01,17.872050423139754,,17.59589240685261,5.918964506687297,,18.623962680387862,16.06342744916281,16.07896705753013,13.258645912412359,21.24925876073807,,12.3315491960413,76.37174774662554
2000-11-01,18.417778941763398,,18.558131473109327,8.256956654091056,,19.855809368614157,37.275945323659776,16.80312772576544,13.00178011453259,23.127607025403215,,12.657016158223923,8.281670553432308
2000-12-01,18.688996949512084,,18.930379593932468,10.539982357482618,,18.300898865171835,19.158094734645253,16.269336518164113,14.21170960856884,34.91902971848996,,12.561000592718317,12.932836218282073
2001-01-01,19.459125111016473,,19.23036841928694,12.849390128444167,,17.271773144348476,20.642106527014416,16.589608065027793,13.875908873067173,31.61921411230147,,12.897386904128492,13.115909448329809
2001-02-01,19.214739857622646,,19.294430497798903,15.038850988563222,,18.33703107782746,20.59466041637511,16.66247004337791,14.82369064922688,21.987097186786446,,13.20877830290144,13.12891193668875
2001-03-01,20.489689451166086,,19.4074738840952,16.844092159731765,,17.64555436280733,19.861246423446246,17.064713300987474,16.10334393726377,19.054003413999293,,13.389705664592721,13.279431263701284
2001-04-01,19.543753529368356,,19.540221585592448,18.5814120626902,,20.406012408784388,29.855465369734464,17.890734827589835,15.829884091125866,20.92866509017921,,13.571546132012505,13.580637401172146
2001-05-01,19.87305099337843,,20.17537009747326,19.929796763876354,,19.436934219376855,19.95832801705979,17.390057793425633,36.64758065184152,22.85988619783634,,14.0337731235141,14.607762678747644
2001-06-01,20.202673827513106,,20.108960179605223,20.90463970562235,,19.370923530959114,20.34860698832105,17.10258839969223,14.905413861083398,30.14041994659139,,14.337737309416008,14.346302253150888
2001-07-01,20.728499204773694,,20.379735666922475,21.249753983114555,,20.419165543745695,23.334939247030636,18.637767294274163,9.870023467926533,23.470523668408667,,14.2050567468446,14.531444934651898
2001-08-01,20.679472339129585,,20.93911103370857,20.75366080748854,,21.484096433482826,22.587969676608573,19.54259849181326,14.261491812864193,21.69802489029113,,15.506122956993334,15.218695422595594
2001-09-01,21.62184692173368,,21.357371906815892,22.054937653866713,,21.769171245811073,23.2617610201034,19.36465048248364,32.515863780593904,46.408865205144146,,15.735119574059716,15.190137945418508
2001-10-01,22.356064842302114,,21.97149546790749,22.803205437226463,,22.049879279592307,25.13946534698016,19.769437136035332,18.427104175340435,24.34019815084983,,16.120238684742766,15.577837882934043
2001-11-01,23.07349534764763,,22.905249814064245,20.53320619110978,,20.179343745402385,35.90544959099602,19.483719568057804,17.133406822941108,32.420375587026854,,16.1846408517417,16.020541715655188
2001-12-01,23.59376599509343,,23.182013595612478,21.30403279116566,,24.43427407332643,22.694736044447552,20.16736653490347,18.117469677520337,32.25697866821603,,16.462257789463855,16.35996018731748
2002-01-01,23.115100348523857,,23.468335283749493,23.0367334670267,,22.82672332085011,27.515937725203564,20.834013914329383,18.74022326937663,29.170282636442266,,16.4064953180357,16.17144548935205
2002-02-01,23.93119714678981,,23.24763981486587,23.20258992871208,,22.417910896140985,26.695749514255674,19.876594712593164,26.696971369578296,50.846481629379646,,16.576480709999725,21.238335261060865
2002-03-01,23.592343197626498,,23.748355922551234,23.239634326157816,25.487582497292877,23.747352788890975,23.138603346916057,21.37952965415318,18.91225787088118,20.983689960264968,,17.38629442228454,29.029855956428136
2002-04-01,23.475236909980907,,23.326309846109474,24.593558945725288,24.984772081281886,22.642888310388116,30.16877689328013,20.3439722586514,18.156954780110716,21.302976572044738,,17.097028944103705,18.34793437181576
2002-05-01,23.371265966257603,,24.021292453550473,22.92137006860169,24.823014693293533,24.279527650777712,26.712723501218367,22.170410440736397,19.335541809385578,31.227840006264984,,17.64892635273379,16.733765610467994
2002-06-01,24.148776192759527,,23.640928544385282,22.297140838633634,23.58883245606688,25.02495939210059,24.449634008879915,20.981044320360645,15.768225908266182,45.68402650581422,,17.874559302088308,19.91676707843094
2002-07-01,24.522506239991817,,24.581925410844402,22.887546745798417,24.4115529733761,25.05816609149752,31.831104865188824,21.491734810343917,19.027683242835558,80.68244988273473,,18.222497131041777,18.890873452504003
2002-08-01,25.297834891154533,,24.969198262105355,24.09700654277896,25.069204862385188,22.982111920738763,30.11631838655194,22.611046437316652,20.191094339289734,30.313187125101898,,19.032074607515124,26.055439424465156
