102.983,252.822,273.895,17.5949,16.1724,44.9858,37.8395,26.9957,49.1929,102.262,890.932,824.494,1018.64,1268.43,119.713,92.7061,99.8732
145.018,701.790,217.769,32.1845,22.9615,64.4272,49.8562,33.1547,86.4950,132.767,819.553,743.581,1026.70,1127.09,107.981,93.4975,101.171
136.107,834.144,154.180,24.1547,22.9331,45.5278,49.3198,27.2494,72.5907,129.988,758.435,723.921,1003.90,1143.92,101.399,93.9920,101.595
122.212,905.790,135.018,35.6644,40.2124,63.9356,48.5945,41.8119,87.1172,84.3784,634.119,594.592,1061.59,996.338,98.1719,93.8846,102.345
170.243,558.572,147.061,41.9487,30.8844,49.3637,35.0181,26.5123,81.1576,58.4650,516.991,510.175,983.821,962.163,96.0413,93.9392,103.214
158.622,409.225,166.079,37.1362,29.0189,54.5242,25.2354,23.7012,69.1218,49.9447,464.160,539.019,1008.92,959.826,93.8562,95.4379,104.154
128.720,130.810,139.549,53.2344,30.6385,50.2429,18.9121,34.1260,39.3617,38.7809,479.546,731.303,958.264,950.299,92.3826,96.7695,104.729
103.700,154.314,167.303,56.4017,33.5845,62.4788,21.4448,34.3192,42.3128,45.1757,711.441,869.721,1166.76,1098.99,92.8516,97.1771,104.920
95.2727,217.412,173.474,76.4678,34.3104,52.2841,38.1509,52.0546,32.2948,46.8761,938.887,902.503,1285.39,1224.13,93.6998,97.2591,104.874
87.7915,441.432,177.422,58.0752,42.0268,57.0936,46.2733,57.9416,51.4965,61.9446,1035.18,947.891,1433.96,1376.78,94.4775,97.5489,104.690
94.4270,274.845,246.837,42.0776,35.1460,50.1566,48.6374,48.3208,24.1768,69.1820,1018.39,996.508,1428.67,1377.33,95.2030,97.8015,104.334
155.091,412.210,271.108,68.0212,39.1499,75.9802,69.2326,60.9432,40.2799,72.6329,960.464,840.130,1372.60,1206.76,96.2350,98.9893,103.275
